날짜	종가	오픈	고가	저가	거래량	변동 %
2020년 11월 30일	"19,698.10"	"18,186.00"	"19,831.20"	"18,186.00"	185.59K	8.32%
2020년 11월 29일	"18,185.50"	"17,729.70"	"18,336.30"	"17,530.40"	79.12K	2.57%
2020년 11월 28일	"17,730.70"	"17,142.60"	"17,874.40"	"16,874.40"	95.20K	3.52%
2020년 11월 27일	"17,127.10"	"17,160.90"	"17,450.30"	"16,481.60"	138.80K	-0.20%
2020년 11월 26일	"17,162.00"	"18,721.90"	"18,894.90"	"16,235.20"	312.07K	-8.34%
2020년 11월 25일	"18,723.00"	"19,151.50"	"19,486.70"	"18,527.70"	146.12K	-2.24%
2020년 11월 24일	"19,152.60"	"18,394.60"	"19,416.60"	"18,074.80"	180.79K	4.21%
2020년 11월 23일	"18,379.60"	"18,428.10"	"18,756.80"	"18,016.00"	127.35K	-0.18%
2020년 11월 22일	"18,412.90"	"18,689.30"	"18,751.50"	"17,644.60"	121.76K	-1.47%
2020년 11월 21일	"18,687.20"	"18,673.80"	"18,966.00"	"18,397.50"	108.91K	0.06%
2020년 11월 20일	"18,675.20"	"17,805.50"	"18,811.00"	"17,758.40"	134.42K	4.90%
2020년 11월 19일	"17,803.50"	"17,775.10"	"18,166.00"	"17,380.10"	135.94K	0.16%
2020년 11월 18일	"17,774.60"	"17,662.30"	"18,466.10"	"17,258.90"	233.43K	0.64%
2020년 11월 17일	"17,662.30"	"16,715.80"	"17,845.40"	"16,562.00"	175.87K	5.66%
2020년 11월 16일	"16,715.80"	"15,954.10"	"16,880.70"	"15,870.70"	118.09K	4.78%
2020년 11월 15일	"15,953.00"	"16,074.70"	"16,158.10"	"15,782.30"	58.43K	-0.73%
2020년 11월 14일	"16,071.00"	"16,323.10"	"16,328.20"	"15,717.70"	83.64K	-1.55%
2020년 11월 13일	"16,324.20"	"16,293.00"	"16,474.10"	"15,973.40"	113.75K	0.18%
2020년 11월 12일	"16,294.70"	"15,695.80"	"16,342.70"	"15,483.50"	165.54K	3.82%
2020년 11월 11일	"15,695.80"	"15,303.10"	"15,953.90"	"15,281.00"	119.07K	2.56%
2020년 11월 10일	"15,303.60"	"15,328.00"	"15,465.30"	"15,096.50"	93.36K	-0.15%
2020년 11월 09일	"15,327.20"	"15,483.30"	"15,819.60"	"14,816.90"	165.04K	-1.01%
2020년 11월 08일	"15,483.70"	"14,826.60"	"15,648.30"	"14,720.70"	94.99K	4.42%
2020년 11월 07일	"14,828.40"	"15,578.20"	"15,754.40"	"14,385.10"	160.73K	-4.81%
2020년 11월 06일	"15,577.90"	"15,593.90"	"15,955.20"	"15,223.50"	186.13K	-0.06%
2020년 11월 05일	"15,587.10"	"14,145.60"	"15,739.90"	"14,099.70"	227.49K	10.19%
2020년 11월 04일	"14,145.60"	"14,023.00"	"14,238.80"	"13,544.40"	140.80K	0.90%
2020년 11월 03일	"14,019.90"	"13,560.50"	"14,054.00"	"13,294.60"	108.17K	3.38%
2020년 11월 02일	"13,561.40"	"13,759.70"	"13,828.40"	"13,214.20"	97.76K	-1.44%
2020년 11월 01일	"13,759.40"	"13,795.50"	"13,889.50"	"13,628.70"	51.71K	-0.27%
